,0,1,2,3,4,5,6,7,8,9,10,11
345,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/NG-KOG-1208', u'self': u'https://www.rijksmuseum.nl/api/en/collection/NG-KOG-1208'}",Book chest of Hugo de Groot,,False,,,[],,NG-KOG-1208,True
346,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-NM-13150', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-NM-13150'}",Portrait of Michiel de Ruyter,,False,,,[],,BK-NM-13150,True
347,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-17496', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-17496'}",Blue Macaw,,False,,,[],,BK-17496,True
348,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-16676', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-16676'}",Desk,,False,,,[],,BK-16676,True
349,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/NG-444', u'self': u'https://www.rijksmuseum.nl/api/en/collection/NG-444'}",Chest with nine porcelain bottles,,False,,,[],,NG-444,True
350,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-1368', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-1368'}",Portraits of Giuliano and Francesco Giamberti da Sangallo,,False,,,[],,SK-C-1368,True
351,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-5', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-5'}","Militia Company of District II under the Command of Captain Frans Banninck Cocq, Known as the ‘Night Watch’",,False,,,[],,SK-C-5,True
352,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-217', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-217'}",Interior of the Sint-Odulphuskerk in Assendelft,,False,,,[],,SK-C-217,True
353,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-1367', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-1367'}",Portraits of Giuliano and Francesco Giamberti da Sangallo,,False,,,[],,SK-C-1367,True
354,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-372', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-372'}",Mary Magdalene,,False,,,[],,SK-A-372,True
355,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-6', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-6'}","The Sampling Officials of the Amsterdam Drapers’ Guild, known as ‘The Syndics’",,False,,,[],,SK-C-6,True
356,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-500', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-500'}",The Holy Kinship,,False,,,[],,SK-A-500,True
357,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1718', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1718'}",Winter Landscape with Ice Skaters,,False,,,[],,SK-A-1718,True
358,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3584', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3584'}",Girl in a White Kimono,,False,,,[],,SK-A-3584,True
359,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-H', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-H'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-H,True
360,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-B', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-B'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-B,True
361,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-NM-88', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-NM-88'}",The Meeting of Joachim and Anna,,False,,,[],,BK-NM-88,True
362,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-1963-101', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-1963-101'}",Seated Cupid,,False,,,[],,BK-1963-101,True
363,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-18305', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-18305'}",Portrait of Andries de Graeff,,False,,,[],,BK-18305,True
364,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-NM-3888', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-NM-3888'}",Virgin and Child,,False,,,[],,BK-NM-3888,True
365,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-F', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-F'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-F,True
366,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-D', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-D'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-D,True
367,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-E', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-E'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-E,True
368,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-C', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-C'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-C,True
369,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-I', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-I'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-I,True
370,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-A', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-A'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-A,True
371,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-G', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-G'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-G,True
372,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-AM-33-J', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-AM-33-J'}",Ten weepers from the tomb of Isabella of Bourbon,,False,,,[],,BK-AM-33-J,True
373,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2815', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2815'}",The Seven Works of Mercy,,False,,,[],,SK-A-2815,True
374,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3148', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3148'}","William I, Prince of Oranje",,False,,,[],,SK-A-3148,True
375,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3059', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3059'}",The Sick Child,,False,,,[],,SK-A-3059,True
376,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3948', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3948'}",Portrait of a Member of the Van der Mersch Family,,False,,,[],,SK-A-3948,True
377,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3262', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3262'}",Self-portrait,,False,,,[],,SK-A-3262,True
378,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-17040-A', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-17040-A'}",Table ornament,,False,,,[],,BK-17040-A,True
379,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-1975-81', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-1975-81'}",Cupboard,,False,,,[],,BK-1975-81,True
380,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-5033', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-5033'}",Portrait de Marten Soolmans,,False,,,[],,SK-A-5033,True
381,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-1768', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-1768'}",Portrait of Oopjen Coppit,,False,,,[],,SK-C-1768,True
382,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-C-211', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-C-211'}",The Windmill at Wijk bij Duurstede,,False,,,[],,SK-C-211,True
383,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/BK-NM-1010', u'self': u'https://www.rijksmuseum.nl/api/en/collection/BK-NM-1010'}",Dolls’ house of Petronella Oortman,,False,,,[],,BK-NM-1010,True
384,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-1065', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-1065'}",Piano Practice Interrupted,,False,,,[],,SK-A-1065,True
385,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-2005', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-2005'}",The First Day of School,,False,,,[],,SK-A-2005,True
386,,False,"{u'web': u'https://www.rijksmuseum.nl/en/collection/SK-A-3011', u'self': u'https://www.rijksmuseum.nl/api/en/collection/SK-A-3011'}",Madonna of Humility,,False,,,[],,SK-A-3011,True
