,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
36,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1368', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1368'}",,SK-C-1368,Portraits of Giuliano and Francesco Giamberti da Sangallo,True,,,False,False,,,[]
37,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-5', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-5'}",,SK-C-5,"Militia Company of District II under the Command of Captain Frans Banninck Cocq, Known as the ‘Night Watch’",True,,,False,False,,,[]
38,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-217', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-217'}",,SK-C-217,Interior of the Sint-Odulphuskerk in Assendelft,True,,,False,False,,,[]
39,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1367', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1367'}",,SK-C-1367,Portraits of Giuliano and Francesco Giamberti da Sangallo,True,,,False,False,,,[]
40,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-372', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-372'}",,SK-A-372,Mary Magdalene,True,,,False,False,,,[]
41,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-6', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-6'}",,SK-C-6,"The Sampling Officials of the Amsterdam Drapers’ Guild, known as ‘The Syndics’",True,,,False,False,,,[]
42,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-500', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-500'}",,SK-A-500,The Holy Kinship,True,,,False,False,,,[]
43,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1718', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1718'}",,SK-A-1718,Winter Landscape with Ice Skaters,True,,,False,False,,,[]
44,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3584', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3584'}",,SK-A-3584,Girl in a White Kimono,True,,,False,False,,,[]
45,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2815', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2815'}",,SK-A-2815,The Seven Works of Mercy,True,,,False,False,,,[]
46,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3148', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3148'}",,SK-A-3148,"William I, Prince of Oranje",True,,,False,False,,,[]
47,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3059', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3059'}",,SK-A-3059,The Sick Child,True,,,False,False,,,[]
48,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3948', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3948'}",,SK-A-3948,Portrait of a Member of the Van der Mersch Family,True,,,False,False,,,[]
